Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Calendar Year (Jan-Dec),DJF,MAM,JJA,SON,Climate Year [1] (Dec-Nov),Climate Year [2] (Nov-Oct),Water Year (Oct-Sep),NDJFM,MJJAS
1924,0.8,-4.3,-1.0,-2.4,-4.3,-2.2,-1.6,-0.5,-3.2,-0.2,-0.5,-2.8,-1.9,1.4,-2.6,-1.4,-1.3,-1.0,-1.0,-1.0,0.6,-2.4
1925,-4.4,6.7,3.2,1.4,-4.0,2.7,-2.1,-0.6,0.9,-7.2,-2.0,-0.6,-0.5,-0.2,0.2,0.0,-2.8,-0.7,-0.6,0.0,0.4,-0.6
1926,0.0,-2.0,-6.4,-5.4,-2.3,-4.0,-1.3,0.1,-0.9,-1.8,-1.3,-5.1,-2.5,-0.9,-4.7,-1.7,-1.3,-2.2,-2.2,-2.7,-2.2,-1.7
1927,-0.2,3.7,2.9,-1.2,-2.6,-4.1,-0.9,-4.3,0.4,2.6,3.5,1.7,0.1,-0.5,-0.3,-3.1,2.2,-0.4,-0.8,-1.2,0.0,-2.3
1928,1.8,0.1,-2.1,-3.1,-1.7,-2.7,0.2,2.5,-3.4,1.0,0.2,3.7,-0.3,1.2,-2.3,-0.0,-0.7,-0.5,-0.2,-0.0,1.0,-1.0
1929,-0.7,-0.8,3.9,0.7,-0.8,-0.1,-1.1,-2.8,1.5,-2.2,-0.8,-0.9,-0.3,0.7,1.3,-1.3,-0.5,0.0,0.1,0.4,1.3,-0.7
1930,1.0,3.6,-0.6,-1.6,1.5,2.9,-0.4,-0.7,3.1,-1.2,0.9,-0.3,0.7,1.2,-0.2,0.6,0.9,0.6,0.5,0.4,0.5,1.3
1931,0.4,1.7,0.6,0.8,0.7,0.2,2.6,0.4,3.7,2.8,6.2,4.7,2.1,0.6,0.7,1.1,4.2,1.7,1.2,0.9,0.7,1.5
1932,11.2,3.1,-4.2,-2.1,0.4,-0.1,-1.7,1.3,0.9,1.7,-2.7,3.2,0.9,6.3,-2.0,-0.2,-0.0,1.0,1.8,1.9,4.2,0.2
1933,9.1,3.3,-2.2,0.8,2.2,2.3,0.0,0.1,1.7,-1.4,-5.8,-3.5,0.6,5.2,0.3,0.8,-1.8,1.1,1.4,1.6,2.1,1.3
1934,1.7,-12.1,-3.1,0.3,2.1,2.7,1.6,-2.5,3.0,-2.5,2.6,-2.7,-0.7,-4.6,-0.2,0.6,1.0,-0.8,-1.5,-1.4,-4.6,1.4
1935,-3.3,-1.4,1.8,-1.5,-3.7,-0.4,2.3,0.9,-2.4,-0.2,2.3,-4.9,-0.9,-2.5,-1.1,0.9,-0.1,-0.7,-0.7,-0.9,-0.6,-0.7
1936,-2.6,-6.9,5.1,-2.5,2.4,0.5,-0.5,0.9,1.0,0.0,-4.5,2.5,-0.4,-4.8,1.7,0.3,-1.2,-1.0,-0.4,-0.5,-1.4,0.9
1937,8.3,3.8,-4.7,-1.0,1.6,1.0,0.9,4.2,-1.2,-1.9,-0.5,-1.7,0.7,4.9,-1.4,2.0,-1.2,1.1,0.8,0.9,1.1,1.3
1938,-0.4,3.5,2.7,2.4,-1.2,0.7,0.7,3.2,-2.5,1.7,1.4,1.3,1.1,0.5,1.3,1.5,0.2,0.9,0.7,0.4,0.7,0.2
1939,0.6,2.4,-3.0,-3.1,1.6,0.8,-0.2,3.3,0.7,-0.2,-3.5,1.2,0.1,1.4,-1.5,1.3,-1.0,0.1,0.5,0.6,0.5,1.2
1940,-7.5,-0.2,-5.3,-3.9,0.1,-0.7,-0.2,-1.4,-1.8,-3.8,-1.0,1.9,-2.0,-2.2,-3.0,-0.8,-2.2,-2.0,-2.2,-1.9,-3.1,-0.8
1941,-1.8,-0.5,-5.6,5.1,1.3,1.2,1.0,-1.9,1.6,1.7,2.2,3.3,0.6,-0.1,0.3,0.1,1.8,0.5,0.3,-0.2,-1.4,0.6
1942,-0.7,-2.4,3.4,3.3,3.7,1.3,-0.2,-0.4,0.6,1.4,-0.2,-4.2,0.5,0.1,3.5,0.2,0.6,1.1,1.3,1.3,1.2,1.0
1943,-2.2,1.4,-1.8,-5.5,0.3,4.0,0.6,0.1,-1.3,-0.9,-2.0,-3.9,-0.9,-1.7,-2.3,1.6,-1.4,-1.0,-0.8,-0.6,-1.4,0.7
1944,2.8,-0.1,-3.5,-3.3,5.6,1.1,0.9,2.8,1.2,-1.3,0.3,-3.7,0.2,-0.4,-0.4,1.6,0.1,0.2,0.0,0.1,-1.3,2.3
1945,-6.3,1.1,9.3,4.9,-3.0,-0.5,-0.3,0.0,2.8,-1.5,0.6,-4.8,0.2,-3.0,3.7,-0.3,0.6,0.3,0.3,0.3,0.1,-0.2
1946,0.9,-1.1,9.3,-0.9,-0.7,-0.8,-1.0,-2.9,1.8,3.6,3.1,1.8,1.1,-1.7,2.6,-1.6,2.8,0.5,0.3,-0.1,1.0,-0.7
1947,4.1,-2.0,-2.6,-1.0,-1.1,-1.3,0.3,3.9,1.2,6.3,-2.5,-2.4,0.2,1.3,-1.6,1.0,1.7,0.6,1.1,0.8,0.9,0.6
1948,-5.9,-2.8,0.4,1.6,-1.4,-1.1,0.4,1.2,1.0,-1.5,5.6,2.8,0.0,-3.7,0.2,0.2,1.7,-0.4,-1.1,-0.4,-2.6,0.0
1949,6.8,5.5,1.2,1.4,0.9,4.0,3.4,2.2,-2.2,4.4,-1.8,3.2,2.4,5.0,1.2,3.2,0.1,2.4,3.0,2.5,4.4,1.7
1950,8.8,-0.9,-5.0,-3.0,0.1,-0.3,-1.5,-0.7,-3.1,1.9,1.8,-0.6,-0.2,3.7,-2.6,-0.8,0.2,0.1,-0.2,0.0,0.9,-1.1
1951,3.8,3.5,1.1,1.2,0.8,-0.5,-0.1,-0.7,-0.2,1.9,-4.2,0.9,0.6,2.2,1.0,-0.4,-0.8,0.5,1.0,1.0,1.9,-0.1
1952,3.7,3.9,-0.3,2.7,-2.3,2.1,3.3,0.7,0.8,-3.3,1.5,3.1,1.3,2.8,0.0,2.0,-0.3,1.1,0.7,1.1,0.8,0.9
1953,6.3,5.5,2.5,0.5,2.3,1.3,0.4,-0.1,0.7,1.7,3.0,5.9,2.5,5.0,1.8,0.5,1.8,2.3,2.1,1.7,3.8,0.9
1954,-1.7,7.5,-0.1,2.5,-2.2,0.9,-1.5,-1.7,-0.5,3.4,0.2,0.3,0.6,3.9,0.1,-0.8,1.0,1.1,1.3,1.2,2.9,-1.0
1955,-1.1,1.7,0.0,3.5,3.0,-0.7,4.1,3.9,-0.7,1.6,-1.8,-5.5,0.7,0.3,2.2,2.4,-0.3,1.1,1.3,1.5,0.2,1.9
1956,2.1,3.1,-4.4,-2.6,-3.7,0.4,-2.7,-1.0,-3.4,1.1,0.9,4.5,-0.5,-0.1,-3.6,-1.1,-0.5,-1.3,-1.5,-1.5,-1.3,-2.1
